Income,Gender,Age,Political Affiliation,Level of Education,Climate Change
77000,Female,18,DK/REF,Some college,Real but not Caused by People
52000,Female,61,Independent,Some college,Real and Caused by People
22000,Female,64,Independent,Some college,Real and Caused by People
32000,Female,60,Democrat,College degree,Real and Caused by People
110000,Female,44,Republican,College degree,Real and Caused by People
114000,Male,56,Independent,Graduate degree,Real but not Caused by People
236000,Male,52,Independent,Graduate degree,Real and Caused by People
143000,Male,52,DK/REF,Graduate degree,DK/REF
104000,Female,70,Democrat,College degree,Real and Caused by People
85000,Female,60,Democrat,Graduate degree,Real but not Caused by People
202000,Male,40,Independent,Graduate degree,Real and Caused by People
65000,Female,50,Independent,Some college,Real and Caused by People
147000,Male,64,Democrat,College degree,Real and Caused by People
97000,Female,53,Independent,College degree,Real and Caused by People
105000,Male,68,Independent,Graduate degree,Real but not Caused by People
132000,Male,60,Independent,Some college,Real and Caused by People
153000,Female,58,Republican,Graduate degree,Real and Caused by People
17000,Female,53,Democrat,Some college,Real and Caused by People
45000,Female,26,Independent,High school,Not Real At All
62000,Male,52,Independent,Graduate degree,Not Real At All
71000,Female,56,DK/REF,High school,Real and Caused by People
159000,Female,47,Democrat,College degree,Real and Caused by People
5000,Female,55,Republican,High school,Real but not Caused by People
436000,Male,55,Independent,College degree,Real and Caused by People
97000,Female,61,Republican,College degree,Real and Caused by People
200000,Female,52,DK/REF,Some college,Real but not Caused by People
56000,Female,59,Democrat,High school,Real and Caused by People
31000,Female,38,Independent,College degree,Real and Caused by People
32000,Female,59,Democrat,Graduate degree,Real and Caused by People
150000,Male,65,Republican,High school,Not Real At All
132000,Male,52,Republican,Some college,Not Real At All
25000,Female,52,Independent,High school,Not Real At All
55000,Female,59,Democrat,College degree,Real and Caused by People
44000,Male,56,DK/REF,Graduate degree,Not Real At All
51000,Male,61,Republican,Some college,Real but not Caused by People
39000,Female,57,Independent,Graduate degree,Real and Caused by People
26000,Male,49,Independent,College degree,Not Real At All
174000,Female,68,Democrat,Graduate degree,Real and Caused by People
100000,Female,59,Republican,Graduate degree,Real and Caused by People
132000,Male,57,Independent,College degree,Real but not Caused by People
48000,Male,64,Republican,Graduate degree,Not Real At All
92000,Female,56,Independent,Graduate degree,Real and Caused by People
25000,Female,33,Democrat,Graduate degree,Real but not Caused by People
22000,Female,40,DK/REF,Some college,DK/REF
170000,Male,63,Independent,College degree,Real but not Caused by People
92000,Female,57,Independent,Some college,Real and Caused by People
91000,Female,48,Independent,College degree,Real and Caused by People
10000,Female,55,Independent,College degree,Real and Caused by People
48000,Female,60,Independent,Some college,Not Real At All
105000,Female,59,Independent,High school,Real and Caused by People
52000,Male,51,Democrat,Graduate degree,Real and Caused by People
120000,Male,53,Democrat,High school,Real and Caused by People
34000,Female,65,DK/REF,High school,Real but not Caused by People
180000,Female,40,Republican,College degree,Not Real At All
164000,Female,26,Democrat,High school,Real and Caused by People
83000,Male,64,Independent,College degree,Real and Caused by People
386000,Other,36,Independent,Graduate degree,Not Real At All
79000,Male,60,Independent,Some college,Real and Caused by People
327000,Female,55,Independent,College degree,Real and Caused by People
62000,Female,62,Republican,College degree,Real but not Caused by People
180000,Female,64,Republican,Some college,Real but not Caused by People
70000,Female,49,Independent,Some college,Real but not Caused by People
103000,Female,58,Republican,Some college,Not Real At All
57000,Male,47,Independent,Graduate degree,Real and Caused by People
78000,Female,58,DK/REF,Other,Real and Caused by People
132000,Female,61,Democrat,College degree,Real and Caused by People
73000,Male,61,Republican,Graduate degree,Real and Caused by People
42000,Female,57,Republican,Graduate degree,Not Real At All
21000,Female,69,Democrat,High school,Real but not Caused by People
163000,Male,58,Independent,College degree,Real and Caused by People
88000,Female,44,Independent,High school,Real but not Caused by People
22000,Male,70,Independent,Graduate degree,Not Real At All
43000,Male,63,Democrat,College degree,Real and Caused by People
47000,Female,60,Independent,High school,Real and Caused by People
113000,Male,40,Independent,Graduate degree,Real and Caused by People
137000,Female,40,Republican,College degree,Real and Caused by People
9000,Female,61,Republican,College degree,Real but not Caused by People
39000,Female,32,Democrat,Some college,Real and Caused by People
13000,Female,55,Republican,Some college,Real but not Caused by People
47000,Female,58,Republican,High school,Real and Caused by People
72000,Male,60,Independent,Some college,Not Real At All
37000,Male,58,Independent,College degree,Not Real At All
69000,Male,55,Independent,Some college,Not Real At All
208000,Male,55,Independent,Graduate degree,Not Real At All
30000,Female,57,DK/REF,College degree,Real and Caused by People
23000,Male,62,Democrat,High school,Real and Caused by People
8000,Male,34,Independent,Some college,Real and Caused by People
114000,Male,40,Republican,Graduate degree,Real but not Caused by People
129000,Female,45,Democrat,Some college,Real and Caused by People
94000,Male,51,Democrat,High school,Real and Caused by People
177000,Male,63,Republican,Some college,Not Real At All
30000,Female,62,DK/REF,Some college,Real and Caused by People
12000,Male,35,DK/REF,College degree,Real and Caused by People
135000,Male,57,Democrat,College degree,Real and Caused by People
87000,Male,50,Independent,High school,Not Real At All
86000,Male,55,DK/REF,High school,Real and Caused by People
93000,Female,51,Independent,Graduate degree,Real and Caused by People
169000,Female,61,Independent,College degree,Real and Caused by People
13000,Other,22,DK/REF,College degree,Real and Caused by People
102000,Female,61,Democrat,Graduate degree,Real and Caused by People
101000,Male,54,Republican,College degree,Not Real At All
153000,Female,60,Republican,College degree,Real and Caused by People
43000,Male,56,Democrat,High school,Real and Caused by People
5000,Male,64,Democrat,High school,Not Real At All
61000,Female,29,Democrat,College degree,Real and Caused by People
203000,Male,50,Republican,Graduate degree,Real but not Caused by People
168000,Female,58,Independent,Other,Real and Caused by People
130000,Female,36,Independent,Graduate degree,Real and Caused by People
41000,Female,53,Independent,Some college,Real but not Caused by People
18000,Female,83,Republican,Some college,Not Real At All
152000,Male,35,Independent,College degree,Real and Caused by People
73000,Female,53,Independent,Some college,Real but not Caused by People
42000,Female,40,Independent,College degree,Not Real At All
68000,Female,48,Democrat,Some college,Not Real At All
162000,Other,48,Independent,Graduate degree,Not Real At All
10000,Female,43,Democrat,College degree,Real and Caused by People
126000,Other,42,Independent,Graduate degree,Not Real At All
122000,Male,65,DK/REF,Some college,DK/REF
163000,Female,47,Independent,College degree,Real and Caused by People
78000,Female,38,Independent,High school,Not Real At All
500000,Male,46,Independent,College degree,Real and Caused by People
103000,Male,51,Independent,College degree,Real and Caused by People
64000,Male,28,Democrat,College degree,Real and Caused by People
166000,Male,28,Independent,Some college,Real but not Caused by People
102000,Male,49,Republican,High school,Not Real At All
74000,Male,38,Independent,College degree,Real and Caused by People
146000,Female,46,Independent,Graduate degree,Real and Caused by People
74000,Female,45,Republican,Graduate degree,Real but not Caused by People
106000,Male,50,Independent,Graduate degree,Real and Caused by People
24000,Female,28,Independent,College degree,Real and Caused by People
121000,Female,49,Democrat,Graduate degree,Real and Caused by People
360000,Female,65,Independent,Graduate degree,Real and Caused by People
30000,Female,49,Democrat,College degree,Real and Caused by People
80000,Male,50,Republican,College degree,Real and Caused by People
72000,Other,70,Independent,Graduate degree,Not Real At All
81000,Female,27,DK/REF,Graduate degree,Real and Caused by People
44000,Female,44,DK/REF,Some college,Real and Caused by People
159000,Female,45,Democrat,College degree,Real and Caused by People
163000,Male,45,DK/REF,Graduate degree,Real and Caused by People
44000,Female,80,Democrat,High school,Real and Caused by People
47000,Female,45,Democrat,Other,Real and Caused by People
220000,Male,45,Democrat,College degree,Real and Caused by People
16000,Female,68,Democrat,College degree,Real and Caused by People
390000,Male,48,Democrat,College degree,Real and Caused by People
170000,Male,46,Democrat,Graduate degree,Real and Caused by People
92000,Male,99,Republican,College degree,Real and Caused by People
70000,Female,38,Independent,High school,Real and Caused by People
56000,Male,68,Independent,College degree,Real and Caused by People
38000,Male,51,Republican,College degree,Not Real At All
64000,Male,54,Democrat,Some college,Not Real At All
124000,Female,37,Republican,Graduate degree,Real but not Caused by People
7000,Female,66,Democrat,College degree,Real and Caused by People
43000,Female,65,Independent,Some college,Real and Caused by People
12000,Other,72,Republican,Some college,Real and Caused by People
260000,Female,43,Independent,Some college,Real and Caused by People
139000,Male,32,Democrat,College degree,Real and Caused by People
211000,Female,65,Independent,College degree,Real and Caused by People
73000,Female,71,DK/REF,Some college,Real but not Caused by People
9000,Female,40,Democrat,Graduate degree,Real but not Caused by People
30000,Female,68,Republican,High school,Real but not Caused by People
101000,Female,51,Democrat,College degree,Real and Caused by People
168000,Female,51,Independent,College degree,Real but not Caused by People
93000,Female,66,Democrat,Graduate degree,Real and Caused by People
29000,Female,37,Independent,College degree,Not Real At All
62000,Female,18,Democrat,High school,Real and Caused by People
107000,Male,76,Democrat,Graduate degree,DK/REF
204000,Female,35,Independent,Graduate degree,Real and Caused by People
75000,Male,40,Independent,College degree,DK/REF
12000,Female,48,Democrat,Graduate degree,Real and Caused by People
144000,Male,36,Independent,College degree,Real and Caused by People
79000,Female,48,Democrat,College degree,Real and Caused by People
28000,Female,68,Independent,Graduate degree,Real and Caused by People
25000,Male,53,Independent,Some college,Real and Caused by People
63000,Male,23,DK/REF,High school,Real and Caused by People
32000,Male,51,Democrat,High school,Real and Caused by People
58000,Female,53,Independent,High school,Real but not Caused by People
135000,Female,51,Independent,Graduate degree,Real and Caused by People
81000,Female,66,Independent,High school,DK/REF
95000,Female,47,Republican,Graduate degree,DK/REF
23000,Female,50,DK/REF,Graduate degree,Not Real At All
38000,Male,41,Republican,College degree,Real and Caused by People
68000,Other,86,Republican,Graduate degree,DK/REF
177000,Female,54,Republican,Graduate degree,DK/REF
73000,Female,38,Democrat,College degree,Real and Caused by People
18000,Male,46,Republican,College degree,Not Real At All
61000,Male,35,DK/REF,College degree,Not Real At All
56000,Female,51,Democrat,Some college,Real and Caused by People
14000,Other,96,Independent,Graduate degree,Real and Caused by People
98000,Male,47,Democrat,Graduate degree,Real and Caused by People
142000,Female,53,Independent,College degree,Real and Caused by People
211000,Female,48,Republican,Some college,Real and Caused by People
47000,Male,51,Independent,High school,Not Real At All
72000,Female,65,DK/REF,High school,Real and Caused by People
55000,Other,47,Republican,Some college,DK/REF
116000,Male,48,Independent,Graduate degree,Real and Caused by People
35000,Male,30,Republican,High school,Not Real At All
5000,Female,48,DK/REF,Other,Real and Caused by People
90000,Female,48,Democrat,Some college,Real and Caused by People
9000,Male,22,Independent,High school,Not Real At All
131000,Female,51,Independent,Some college,Real and Caused by People
176000,Male,38,DK/REF,Graduate degree,DK/REF
137000,Male,51,Independent,College degree,Not Real At All
39000,Female,48,Independent,Some college,Not Real At All
114000,Female,45,Independent,Some college,Real and Caused by People
89000,Male,52,Republican,Some college,Real but not Caused by People
16000,Female,65,Democrat,Some college,Real and Caused by People
125000,Male,53,Republican,College degree,Real and Caused by People
92000,Male,43,Independent,High school,Real and Caused by People
161000,Male,28,Independent,College degree,Real and Caused by People
74000,Other,22,Independent,College degree,Real and Caused by People
148000,Female,58,Independent,Graduate degree,Real and Caused by People
44000,Male,54,Democrat,Some college,Real and Caused by People
165000,Male,65,Independent,Graduate degree,Real but not Caused by People
14000,Male,65,Independent,Graduate degree,Not Real At All
62000,Other,56,Democrat,High school,Real and Caused by People
179000,Female,49,Independent,College degree,Real and Caused by People
39000,Female,49,Republican,High school,Real but not Caused by People
85000,Female,63,Independent,High school,DK/REF
37000,Female,59,DK/REF,Graduate degree,Real and Caused by People
148000,Female,60,Republican,College degree,Real but not Caused by People
80000,Female,55,Republican,College degree,Real but not Caused by People
40000,Female,61,Democrat,Some college,Real but not Caused by People
181000,Male,53,Republican,High school,Real and Caused by People
76000,Female,57,Democrat,Some college,Real and Caused by People
74000,Male,49,Republican,Some college,Not Real At All
162000,Male,50,Republican,College degree,Real but not Caused by People
157000,Female,46,Republican,College degree,Real and Caused by People
161000,Male,35,Democrat,College degree,Real but not Caused by People
41000,Female,62,Republican,Graduate degree,Not Real At All
103000,Male,60,Republican,College degree,Not Real At All
91000,Male,65,Republican,College degree,Real but not Caused by People
21000,Female,43,Independent,High school,Not Real At All
103000,Male,58,Independent,Some college,Real but not Caused by People
27000,Male,59,Independent,Graduate degree,Real but not Caused by People
326000,Female,58,Democrat,Graduate degree,Real and Caused by People
74000,Female,66,Democrat,Some college,Real and Caused by People
500000,Male,42,Democrat,Graduate degree,Real and Caused by People
500000,Female,70,Independent,Graduate degree,Real and Caused by People
47000,Male,47,Democrat,College degree,Real and Caused by People
56000,Female,53,Independent,Other,Real and Caused by People
68000,Male,72,Republican,Graduate degree,Real and Caused by People
153000,Female,60,Republican,Some college,Real and Caused by People
64000,Female,51,Republican,Some college,Real and Caused by People
79000,Female,50,DK/REF,College degree,Real but not Caused by People
64000,Male,60,Republican,College degree,Real but not Caused by People
124000,Female,50,Democrat,Graduate degree,Real and Caused by People
155000,Male,55,Independent,College degree,Real but not Caused by People
13000,Male,45,Democrat,College degree,Real and Caused by People
100000,Male,50,DK/REF,Graduate degree,Real but not Caused by People
422000,Male,46,Independent,Graduate degree,Real and Caused by People
140000,Female,62,Democrat,Some college,Real and Caused by People
105000,Male,75,Democrat,Some college,Real and Caused by People
127000,Female,50,DK/REF,Some college,Real and Caused by People
84000,Female,45,Independent,Graduate degree,Real but not Caused by People
